category,total_orders,total_revenue,total_freight,profit_proxy,avg_price,avg_freight,freight_pct_of_revenue,avg_review_score
watches_gifts,5495,1167246.63,98306.28,1068940.35,198.88,16.75,8.4,4.07
health_beauty,8647,1237439.95,179829.04,1057610.91,130.0,18.89,14.5,4.19
bed_bath_table,9272,1037177.69,204312.09,832865.6,93.38,18.39,19.7,3.92
sports_leisure,7530,960189.09,164448.34,795740.75,113.11,19.37,17.1,4.17
computers_accessories,6530,896243.28,145070.99,751172.29,116.27,18.82,16.2,3.98
furniture_decor,6307,718344.78,170012.29,548332.49,87.19,20.64,23.7,3.95
cool_stuff,3559,612071.86,81650.08,530421.78,164.23,21.91,13.3,4.19
auto,3810,580263.44,90756.53,489506.91,139.55,21.83,15.6,4.12
housewares,5743,617836.73,143218.7,474618.03,90.61,21.0,23.2,4.11
toys,3804,472109.78,75889.3,396220.48,116.92,18.79,16.1,4.21
garden_tools,3448,471671.27,96901.74,374769.53,110.15,22.63,20.5,4.08
perfumery,3086,391175.73,53250.59,337925.14,116.59,15.87,13.6,4.22
baby,2809,400774.42,66482.49,334291.93,134.04,22.23,16.6,4.08
telephony,4093,310004.11,69470.79,240533.32,69.92,15.67,22.4,4.0
computers,177,218684.14,9665.62,209018.52,1098.92,48.57,4.4,4.22
office_furniture,1254,269418.1,67343.37,202074.73,160.56,40.13,25.0,3.52
stationery,2264,224145.67,45911.82,178233.85,90.6,18.56,20.5,4.24
pet_shop,1688,211971.64,38956.7,173014.94,110.06,20.23,18.4,4.22
small_appliances,609,183677.02,15498.81,168178.21,277.46,23.41,8.4,4.23
musical_instruments,611,184340.64,17882.34,166458.3,282.73,27.43,9.7,4.22
consoles_games,1018,148538.37,19110.66,129427.71,136.27,17.53,12.9,4.14
construction_tools_construction,736,142940.29,20313.16,122627.13,155.71,22.13,14.2,4.09
fashion_bags_accessories,1820,150162.75,30888.22,119274.53,74.93,15.41,20.6,4.19
electronics,2517,155173.83,45713.43,109460.4,56.84,16.74,29.5,4.07
luggage_accessories,1019,138701.63,30076.49,108625.14,128.79,27.93,21.7,4.35
home_appliances_2,227,108221.6,10289.38,97932.22,464.47,44.16,9.5,4.16
home_construction,483,81527.42,13626.66,67900.76,136.56,22.83,16.7,3.96
home_appliances,747,81856.55,15213.21,66643.34,103.35,19.21,18.6,4.23
agro_industry_and_commerce,177,70566.1,5637.2,64928.9,342.55,27.37,8.0,4.09
fixed_telephony,212,55355.2,4522.13,50833.07,216.23,17.66,8.2,3.76
furniture_living_room,414,67861.4,17822.9,50038.5,135.99,35.72,26.3,3.94
home_confort,392,58265.15,8480.01,49785.14,134.87,19.63,14.6,3.85
air_conditioning,246,53323.56,6530.99,46792.57,184.51,22.6,12.2,4.05
audio,348,50620.5,5698.82,44921.68,139.45,15.7,11.3,3.83
small_appliances_home_oven_and_coffee,72,46589.56,2656.34,43933.22,638.21,36.39,5.7,4.44
books_general_interest,496,45302.15,8880.39,36421.76,84.36,16.54,19.6,4.51
construction_tools_safety,159,38773.22,3730.8,35042.42,211.88,20.39,9.6,3.97
kitchen_dining_laundry_garden_furniture,241,45531.98,11540.99,33990.99,166.18,42.12,25.3,4.03
construction_tools_lights,242,40185.0,7516.72,32668.28,133.06,24.89,18.7,4.09
industry_commerce_and_business,232,38574.81,7601.55,30973.26,145.02,28.58,19.7,4.13
market_place,274,27795.77,5318.61,22477.16,91.13,17.44,19.1,4.07
food,441,28731.15,7063.53,21667.62,57.58,14.16,24.6,4.26
costruction_tools_garden,190,25150.13,5211.99,19938.14,107.48,22.27,20.7,4.12
art,195,23657.3,3828.23,19829.07,120.09,19.43,16.2,4.08
fashion_shoes,235,23206.16,4860.9,18345.26,89.25,18.7,20.9,4.29
drinks,287,21607.04,5488.19,16118.85,59.2,15.04,25.4,4.13
signaling_and_security,138,21315.05,6477.54,14837.51,108.2,32.88,30.4,4.09
furniture_bedroom,90,19051.8,4327.42,14724.38,184.97,42.01,22.7,4.25
books_technical,256,18755.2,4223.28,14531.92,70.77,15.94,22.5,4.39
costruction_tools_tools,97,15903.95,2030.22,13873.73,154.41,19.71,12.8,4.44
food_drink,221,15033.87,4443.23,10590.64,55.48,16.4,29.6,4.37
fashion_male_clothing,106,10452.33,2062.62,8389.71,83.62,16.5,19.7,3.76
fashion_underwear_beach,117,9305.95,1854.07,7451.88,73.28,14.6,19.9,4.05
tablets_printing_image,79,7528.41,1226.2,6302.21,90.7,14.77,16.3,4.12
christmas_supplies,125,8737.84,3190.91,5546.93,58.25,21.27,36.5,4.07
cine_photo,63,6690.37,1235.1,5455.27,94.23,17.4,18.5,4.3
music,38,6034.35,690.51,5343.84,158.8,18.17,11.4,4.21
books_imported,50,4418.86,732.08,3686.78,77.52,12.84,16.6,4.51
party_supplies,38,4465.19,820.19,3645.0,106.31,19.53,18.4,3.83
