order_month,total_orders,unique_customers,total_revenue,avg_order_value,profit_proxy,freight_pct
2016-10,265,265,61746.94,187.11,35226.26,15.5
2016-12,1,1,19.62,19.62,2.18,80.0
2017-01,750,750,176491.49,183.27,103497.54,13.8
2017-02,1653,1653,325782.66,166.05,206593.18,16.0
2017-03,2546,2546,505735.83,164.31,322546.53,15.4
2017-04,2303,2303,456108.32,168.49,308459.97,14.6
2017-05,3546,3546,701313.6,164.59,446362.54,15.5
2017-06,3135,3135,585400.98,158.77,370249.12,16.2
2017-07,3872,3872,716069.98,151.52,424374.23,17.7
2017-08,4193,4193,842689.94,166.77,483314.64,16.6
2017-09,4150,4150,996279.59,199.14,545040.27,15.4
2017-10,4478,4478,998609.62,183.06,569450.32,15.9
2017-11,7289,7289,1548682.69,175.73,850504.0,16.8
2017-12,5513,5513,1020067.26,158.4,630677.39,16.2
2018-01,7069,7069,1374064.02,164.28,801272.86,16.6
2018-02,6555,6555,1279970.45,164.84,716237.93,16.8
2018-03,7003,7003,1435458.33,172.18,820959.25,17.5
2018-04,6798,6798,1466607.15,180.79,840944.97,16.4
2018-05,6749,6749,1480667.59,182.71,854338.0,15.6
2018-06,6099,6099,1285926.11,175.65,736280.04,18.2
2018-07,6159,6159,1307228.18,181.58,730877.73,18.6
2018-08,6351,6351,1211240.09,164.7,716429.41,17.5
