seller_id,seller_state,seller_city,total_orders,unique_products,total_revenue,profit_proxy,avg_price,avg_review_score,on_time_pct,freight_ratio_pct
4869f7a5dfa277a7dca6462dcf3b52b2,SP,guariba,1124,94,226987.93,206968.8,197.72,4.14,90.3,8.8
53243585a1d6dc2643021fd1853d8905,BA,lauro de freitas,348,23,217940.44,205083.86,544.85,4.13,110.3,5.9
4a3ca9315b744ce9f8e9374361493884,SP,ibitinga,1772,394,199408.32,164695.86,101.17,3.83,99.0,17.4
fa1c13f2614d7b5c4749cbc52fecda94,SP,sumare,578,284,190917.14,181000.78,329.74,4.37,90.0,5.2
7c67e1448b00f6e969d365cea6b010ab,SP,itaquaquecetuba,973,197,188063.83,136482.59,137.67,3.35,126.9,27.4
7e93a43ef30c4f03f38b393420bc753a,SP,barueri,319,175,165981.49,159989.43,515.47,4.36,95.3,3.6
da8622b14eb17ae2831f4ac5b9dab84a,SP,piracicaba,1311,221,162303.67,137030.37,103.31,4.08,111.1,15.6
7a67c85e85bb2ce8582c35f2203ad736,SP,sao paulo,1145,146,140238.65,119568.38,121.0,4.27,95.3,14.7
1025f0e2d44d7041d6cf58b6550e0bfa,SP,sao paulo,910,153,139720.16,105713.33,97.43,3.87,143.2,24.3
955fee9216a65b617aa5c0531780ce60,SP,sao paulo,1261,103,131906.71,107114.76,89.49,4.09,107.5,18.8
46dc3b2cc0980fb8ec44634e21d2718e,RJ,rio de janeiro,503,183,122811.38,111459.88,234.82,4.26,97.4,9.2
6560211a19b47992c3666cc44a7e94c0,SP,sao paulo,1819,254,120983.82,93546.34,60.43,3.95,103.2,22.7
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,petropolis,722,124,112970.9,99063.75,144.1,4.27,98.2,12.3
7d13fca15225358621be4086e1eb0964,SP,ribeirao preto,558,57,112436.18,103937.89,196.91,4.02,90.1,7.6
5dceca129747e92ff8ef7a997dc4f8ca,SP,santa barbara d´oeste,322,47,111126.73,97550.54,323.98,4.02,100.3,12.2
1f50f920176fa81dab994f9023523100,SP,sao jose do rio preto,1399,23,107147.91,71930.83,55.37,3.99,125.2,32.9
cc419e0650a3c5ba77189a1882b7556a,SP,santo andre,1651,37,103152.56,77714.17,58.64,4.15,100.1,24.7
a1043bafd471dff536d0c462352beb48,MG,ilicinea,702,6,99309.23,68205.72,132.06,4.25,101.1,31.3
3d871de0142ce09b7081e2b9d1733cb1,SP,campo limpo paulista,1064,202,93456.4,71335.36,82.56,4.15,100.1,23.7
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,teresopolis,165,55,79144.9,75258.66,454.86,4.45,97.6,4.9
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,curitiba,184,12,72926.72,67752.1,385.86,4.32,95.1,7.1
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,sao bernardo do campo,218,9,68455.0,64102.07,296.34,4.23,88.5,6.4
fe2032dab1a61af8794248c8196565c9,SP,campinas,293,70,65689.71,60978.82,215.38,4.4,95.2,7.2
8581055ce74af1daba164fdbd55a40de,SP,guarulhos,379,32,64802.37,55250.55,150.01,4.26,102.6,14.7
cca3071e3e9bb7d12640c9fbe2301306,SP,ibitinga,699,318,64655.23,50210.73,77.34,3.89,113.3,22.3
04308b1ee57b6625f47df1d56f00eedf,SC,bombinhas,92,20,58991.8,56042.98,641.22,3.95,88.0,5.0
522620dcb18a6b31cd7bdf73665113a9,PR,cascavel,172,38,56690.49,52107.32,318.49,3.91,93.0,8.1
37be5a7c751166fbc5f8ccba4119e043,SP,sao paulo,269,9,55525.54,49407.14,196.9,4.31,102.2,11.0
de722cd6dad950a92b7d4f82673f8833,PE,recife,337,7,55126.3,45476.01,146.22,4.17,107.4,17.5
25c5c91f63607446a97b143d2d535d31,MG,itauna,156,18,54951.52,47850.45,202.77,3.72,163.5,12.9
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,sao paulo,325,19,54630.65,46842.71,163.08,3.97,94.5,14.3
17e34d8224d27a541263c4c64b11a56b,SP,riberao preto,247,110,54440.28,49350.07,209.39,4.2,96.8,9.4
218d46b86c1881d022bce9c68a7d4b15,SP,ribeirao preto,382,142,53950.3,46482.96,128.15,4.17,100.3,13.8
e882b2a25a10b9c057cc49695f222c19,RJ,teresopolis,57,19,52774.27,49743.85,879.57,4.6,105.3,5.7
ceaec5548eefc6e23e6607c5435102e7,SP,sao paulo,198,33,51478.18,45302.63,249.89,4.2,98.0,12.0
f5a590cf36251cf1162ea35bef76fe84,SP,sao bernardo do campo,113,60,51232.78,47098.6,434.18,4.28,93.8,8.1
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,nova friburgo,30,28,50628.9,49628.31,1633.19,4.19,93.3,2.0
f8db351d8c4c4c22c6835c19a46f01b0,SP,salto,659,146,50183.4,37754.59,70.09,4.25,102.3,24.8
b2ba3715d723d245138f291a6fe42594,SP,sao paulo,324,172,49302.18,43007.71,140.86,4.2,98.8,12.8
17f51e7198701186712e53a39c564617,SP,sao paulo,56,27,48019.0,38225.57,787.2,4.34,100.0,20.4
8160255418d5aaa7dbdc9f4c64ebda44,SP,ibitinga,380,57,46648.09,38872.0,109.25,3.86,92.4,16.7
966cb4760537b1404caedd472cc610a5,SP,diadema,67,15,46528.25,45011.39,684.24,4.12,98.5,3.3
77530e9772f57a62c906e1c21538ab82,PR,curitiba,312,167,46222.6,37889.94,120.37,4.09,109.0,18.0
4e922959ae960d389249c378d1c939f5,SP,jacarei,412,134,45338.42,38191.24,101.66,3.9,96.6,15.8
850f4f8af5ea87287ac68de36e29107f,SP,sao paulo,186,42,45285.37,42188.02,237.1,4.29,96.2,6.8
c826c40d7b19f62a09e2d7c5e7295ee2,SP,guarulhos,346,17,44653.04,39209.41,122.34,4.09,96.0,12.2
