customer_state,total_customers,one_time_buyers,repeat_buyers,repeat_rate_pct,avg_total_spend,avg_orders_per_customer
AC,76,72,4,5.26,257.71,1.05
RO,231,222,9,3.9,246.65,1.05
MT,856,828,28,3.27,211.96,1.04
RJ,11917,11530,387,3.25,172.5,1.04
SP,39155,37942,1213,3.1,147.37,1.03
GO,1895,1837,58,3.06,176.41,1.03
RS,5168,5011,157,3.04,166.76,1.03
ES,1928,1872,56,2.9,164.77,1.03
PR,4769,4631,138,2.89,163.96,1.03
MG,11001,10683,318,2.89,165.37,1.03
DF,2019,1961,58,2.87,171.44,1.03
BA,3158,3070,88,2.79,187.23,1.03
TO,267,260,7,2.62,224.75,1.03
SC,3449,3359,90,2.61,172.57,1.03
AL,387,377,10,2.58,243.4,1.03
RR,40,39,1,2.5,225.99,1.02
MS,681,664,17,2.5,197.39,1.03
PA,922,900,22,2.39,229.96,1.03
RN,464,454,10,2.16,217.09,1.02
PI,464,454,10,2.16,226.88,1.03
AM,140,137,3,2.14,197.12,1.04
PE,1551,1519,32,2.06,199.27,1.03
MA,700,686,14,2.0,211.15,1.02
PB,504,494,10,1.98,273.48,1.03
SE,329,323,6,1.82,213.64,1.02
CE,1258,1238,20,1.59,211.82,1.02
AP,66,65,1,1.52,244.57,1.02
